date,biz_day,regime,mode,rank,code,name,score,price,change_pct,expected_return_5d,entry_score,day_open,day_high,day_low,exit_price,actual_return,day_high_pct,day_low_pct
2026-05-19,2026-05-19,UPTREND,pro,4,055550,신한지주,69.44,93900,0.86,1.17,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,5,001450,현대해상,68.81,38850,1.3,1.13,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,6,000370,한화손해보험,67.72,7650,7.44,0.74,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,7,001740,SK네트웍스,66.08,8200,-0.61,0.68,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,8,142280,녹십자엠에스,64.68,4860,18.97,0.62,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,9,066430,아이로보틱스,63.95,4295,7.38,0.59,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,10,028670,팬오션,63.8,6050,1.68,0.58,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,11,261780,차백신연구소,63.76,3735,11.33,0.58,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,12,088350,한화생명,61.61,5800,2.29,0.49,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,13,290690,소룩스,61.36,6020,5.06,0.48,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,14,028050,삼성E&A,60.7,49250,-0.51,0.45,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,15,005880,대한해운,60.4,2500,0.0,0.44,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,16,066980,한성크린텍,60.26,1454,5.21,0.43,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,17,005930,삼성전자,59.81,275500,-1.96,0.41,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,18,105560,KB금융,59.57,152800,-0.13,0.4,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,19,003490,대한항공,59.35,25800,0.98,0.39,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,20,321370,센서뷰,58.34,3820,3.66,0.35,,,,,,,,
